name,typical_majors,all_eligible_classifications,typical_classifications,eligible_races,eligible_gender,eligible_sexuality,meeting_frequency,meeting_times,meeting_locations,dues_required,dues_cost,application_required,application_difficulty,time_commitment,member_count,club_type,competitive_or_non_competitive,leadership_roles_available,new_member_onboarding_process,typical_activities,required_skills,offered_skills_or_benefits,club_culture_style,inclusivity_focus,expected_member_traits,administrative_contact_info,website,national_local_affiliation,bio
Aggie Gems,,,Undergraduate,,Women,,,,,No,,No,Low,Low,20-50,Social,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,aggiegems.president@gmail.com,http://www.aggiegems.com,No,"The mission of this organization is to provide a fun, social environment while also promoting sisterhood, service, and leadership on Texas A&M's campus and the surrounding community through various philanthropy events, social events, and volunteer opportunities."
Aggie Gentlemen of Integrity,,,Undergraduate,,Men,,,,,No,,Yes,Medium,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Leadership development",Social,,High commitment,tamuagi.president@gmail.com,http://tamuagi.com,No,"To strengthen the integrity of its members by emphasizing the demand for strong moral principles, allowing the members to grow through integrity speakers and representing a unifying theme of honesty. To promote the importance of accountability in order to create a more trustworthy and responsible group of men to further spread the Core Values of Texas A&M University."
Aggie Girl Scouts,,,Undergraduate,,Women,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Leadership development,Social,,Interest-driven,denisewoodard@tamu.edu,https://www.facebook.com/aggiegirlscouts,Yes,"Aggie Girl Scouts (AGS) is an on-campus Girl Scout organization, recognized by both Girl Scouts of the U.S.A. and Texas A&M University. AGS members are Girl Scout volunteers. Through programming and community outreach, Aggie Girl Scouts will fulfill the purpose of Girl Scouts of the USA: To inspire girls with highest levels of courage, confidence, and character, who make the world a better place."
Aggie Golden Arrows,,,Undergraduate,,Women,,,,,,,No,Low,Medium,20-50,Social,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,aggiegoldenarrows@gmail.com,https://aggiearrow.wixsite.com/tamu,No,"Aggie Arrows is a women's organization that strives to unite diverse women through passion, empowerment, selfless-service, and sisterhood!"
Aggie Guide-Dogs and Service-Dogs,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,aggieguideandservicedogs@gmail.com,http://ags-tamu.org,No,"The purpose of this student organization is to educate about, fundraise for, and promote the training and use of guide dogs and service dogs and to increase awareness about how these animals help the individuals with disabilities who use them throughout the campus, community and beyond."
Aggie Habitat for Humanity,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,info@aggiehabitat.org,https://www.aggielandhabitat.org,Yes,"Campus Chapter of Habitat for Humanity that performs three main functions: building homes for families in need, educating the Texas A&M campus and community, and fundraising to support the work of Habitat for Humanity in College Station and around the world."
Aggie Health Law Association,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Professional,,Interest-driven,,,,To bring awareness of Health Law to the student body.
Aggie Hebrew Achayot for Values and Advocacy,,,Undergraduate,,Women,,,,,,,Yes,Medium,Medium,0-20,Cultural,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,aggieahava@gmail.com,,,"AHAVA is a Jewish Women's Organization that focuses on creating a safe space where members can connect with their heritage, engage in meaningful discussions, and build lasting friendships. We strive to promote Israel advocacy, support the Jewish community, and provide opportunities for personal growth and community engagement."
Aggie Icers,,,Undergraduate,,Women,,,,,,,No,Low,Medium,20-50,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,tamuaggieicers@gmail.com,https://tamuaggieicers.wixsite.com/icers,,"The Aggie Icers is a women's marketing organization dedicated to supporting and promoting the Texas A&M Men's Ice Hockey Team on campus and throughout the Bryan/College Station area. We attend games, organize events, create buddy gifts, and sell merchandise to raise awareness and enthusiasm for Aggie Hockey."
Aggie Investment Club,"Business, Finance, Accounting, Marketing, Economics",,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Social,,Interest-driven,tamuaic@gmail.com,http://www.tamuaic.org,No,"To teach students how to think about investing, equip members with the tools and knowledge to grow their wealth independently, prepare students for a career in a high-finance role, and create a community for students to build life-long relationships."
Aggie Keys,,,Undergraduate,,Women,,,,,,,Yes,Medium,Medium,20-50,Social,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,theaggiekeys@gmail.com,http://theaggiekeys.wixsite.com/aggiekeys,,"To build a strong empowered sisterhood of unique, well-rounded women that are a representation of compassion, integrity, professionalism, and service."
Aggie Kolbitar Society,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,Projects,,Networking,Social,,Interest-driven,aggiekolbitarsociety@gmail.com,https://www.facebook.com/groups/899104623549554/,No,"AKS is an organization that is open to all majors and is focused on the exploration of the Liberal Arts. Members explore language studies, literature, visual arts, history, and music through presentations and discussions."
Aggie Lemon Racing,Engineering,,All majors welcome,,,,,,,Yes,,No,Low,Medium,20-50,Professional,Yes,Yes,Open,"Workshops, Competitions",,Technical skills,Very active,,High commitment,aggielemon@gmail.com,https://linktr.ee/aggieLemons,No,"Aggie Lemon Racing is an engineering organization focused on teaching students engineering aspects regarding vehicle mechanics as well as how to work on their own cars and how to compete in a team. We hope to do this by hosting different workshops to teach members about different aspects of the car, as well as building an endurance race car to compete in the 24 Hours of Lemons."
Aggie Makers Guild,,,Undergraduate,,,,,,,No,,No,Low,Medium,0-20,Other,No,Yes,,Projects,,Networking,Social,,Interest-driven,,,,To gather and support makers at Texas A&M and allow them to work together to bigger and better projects while spreading the maker movement.
Aggie MedReach,"Biology, Pre-Med, Health Sciences",,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Mentorship",Social,,Interest-driven,aggiemedreach@gmail.com,,,We are an organization at Texas A&M focused on educating the Bryan-College Station area medically. We strive to help our community achieve a better quality of life through education and community service.
Aggie Men's Alliance,,Undergraduate,Undergraduate,,Men,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,aggiemensalliance@gmail.com,http://aggiemensalliance.com,No,"Aggie Men's Alliance is a men's leadership, brotherhood, and social organization at Texas A&M committed to the success and brotherhood of its members, and the well-being of the surrounding community."
Aggie Men's Club,,,Undergraduate,,Men,,,,,,,No,Low,Low,20-50,Social,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,president.aggiemensclub@gmail.com,http://aggiemensclub.com,,"The Aggie Men's Club at Texas A&M University was created to provide a social atmosphere of Christian fellowship and brotherhood, while upholding and perpetuating Aggie traditions."
Aggie Mental Health Ambassadors,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,amha.tamu@gmail.com,https://amhatamu.wixsite.com/aggiementalhealth,,"The purpose of the AMHA organization is to make the Texas A&M Student Body an active force in changing the culture around mental health at our university, surrounding communities, and around the globe. The objectives of AMHA include increasing awareness of available resources, providing education and training surrounding mental health, and creating conversations on campus about mental health."
Aggie Military Family Alliance,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,,,,"Aggie Military Family Alliance was founded to promote community among Texas A&M students who are dependents of active duty, reserve, or retired United States Military service members through social and service efforts directed towards the veteran community in the greater Bryan-College Station area."
"Aggie Military, Veterans, and First Responder Healthcare Alliance",,,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Professional,,Interest-driven,,,,"The purpose and mission of our student organization, Aggie Military, Veterans, & First Responder Healthcare Alliance, is to provide a university-wide community for faculty, staff, students, and alumni interested in supporting and/or promoting military healthcare initiatives."
Aggie Minority Women in Law,"Pre-Law, Law",,"Junior, Senior, Graduate",,Women,,,,,,,Yes,Medium,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Professional,,Interest-driven,tamuamwl@gmail.com,https://www.tamuamwl.com,,Empowering minority women to succeed in the law field through preparation and inclusivity.
Aggie Miracle,,Undergraduate,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,aggiemiracleed@gmail.com,http://www.aggiemiracle.com,No,"Aggie Miracle strives to provide hope and support for children and families treated at Children's Miracle Network Hospitals. Through raising awareness and fundraising for life-saving equipment and Child-life Specialists at McLane Children's Medical Center, we unite Texas A&M Students, the Bryan-College Station community and the Aggie Network."
Aggie Musical Theater Club,,,,,,,,,,,,No,Low,Medium,20-50,Creative,No,Yes,,Projects,,Networking,Social,,Interest-driven,tamuamtc@gmail.com,,,"The purpose of the Aggie Musical Theater Club is to perform and host musical theater productions with an all-student cast, crew, and orchestra."
Aggie Muster Committee,,,Undergraduate,,,,,,,No,,No,Low,Medium,100+,Service,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,musterchair@gmail.com,http://muster.tamu.edu,No,"Muster is one of the oldest traditions at A&M, serving to honor members of the Aggie Family that have passed in the previous year. The Muster Committee is responsible for organizing and planning every aspect of the tradition."
Aggie Nations,,,Undergraduate,,,,,,,No,,No,Low,Low,20-50,Cultural,No,Yes,,Social events,,Networking,Social,,Interest-driven,aggienations@gmail.com,https://aggienations.com,,Cultivating authentic connections and enduring friendships among A&M's exchange and international students. Our ultimate goal is to ensure that every Aggie feels embraced and accepted into the vibrant community here at Texas A&M.
